name,data,time
avl,2,0.0398
avl,4,0.0369
avl,8,0.0644
avl,16,0.0458
avl,32,0.0831
avl,64,0.0948
avl,128,0.2275
avl,256,0.5334
avl,512,0.7118
avl,1024,1.6788
avl,2048,2.9356
avl,4096,6.4092
avl,8192,13.4075
avl,16384,35.5108
avl,32768,75.2468
avl,65536,159.0052
avl,131072,370.2402
avl,262144,824.1029
avl,524288,2109.3170
avl,1048576,5306.5032
