name,data,time
avl,2,0.0443
avl,4,0.0239
avl,8,0.0279
avl,16,0.0305
avl,32,0.0281
avl,64,0.0239
avl,128,0.0247
avl,256,0.0361
avl,512,0.0325
avl,1024,0.0351
avl,2048,0.0458
avl,4096,0.0287
avl,8192,0.0257
avl,16384,0.0331
avl,32768,0.0286
avl,65536,0.0264
avl,131072,0.0270
avl,262144,0.0325
avl,524288,0.0476
avl,1048576,0.0336
