name,data,time
bst,2,0.0221
bst,4,0.0245
bst,8,0.0233
bst,16,0.0277
bst,32,0.0315
bst,64,0.0233
bst,128,0.0327
bst,256,0.0397
bst,512,0.0337
bst,1024,0.0284
bst,2048,0.0310
bst,4096,0.0329
bst,8192,0.0270
bst,16384,0.0368
bst,32768,0.0266
bst,65536,0.0319
bst,131072,0.0279
bst,262144,0.0293
bst,524288,0.0288
bst,1048576,0.0355
