name,data,time
bst,2,0.0373
bst,4,0.0273
bst,8,0.0348
bst,16,0.0468
bst,32,0.0766
bst,64,0.1178
bst,128,0.2610
bst,256,0.4466
bst,512,0.8162
bst,1024,2.0064
bst,2048,4.5751
bst,4096,10.5788
bst,8192,21.5993
bst,16384,35.9254
bst,32768,131.9348
bst,65536,269.8335
bst,131072,582.1464
bst,262144,1398.6145
bst,524288,2605.9144
bst,1048576,5529.8217
