name,data,time
bst,2,0.0076
bst,4,0.0074
bst,8,0.0058
bst,16,0.0102
bst,32,0.0151
bst,64,0.0148
bst,128,0.0262
bst,256,0.0766
bst,512,0.1575
bst,1024,0.2279
bst,2048,0.4158
bst,4096,1.0425
bst,8192,1.7582
bst,16384,4.0004
bst,32768,8.0503
bst,65536,19.6253
bst,131072,41.6686
bst,262144,78.1983
bst,524288,159.2830
bst,1048576,330.6668
